2025-10-23 19:51:09,USB Malware Detection,CLaMP,Gaussian Naive Bayes,Completed,0.6881
2025-10-23 19:51:16,Network Intrusion Detection,UNSW-NB15,Gaussian Naive Bayes,Completed,0.8251
